Subject,E1-3D,E2-3D,E5-3D,E1-Y,E2-Y,E2-D,E5-Y,E5-V,S97,S95,S92,SSD2,SSD3,SSD4,SSD5
1,2666,2810,3350,2662,2821,2808,3356,3346,2735,1176,2773,2686,2729,2745,2751
2,2951,3217,3685,2956,3222,3217,3692,3676,3086,3110,3127,3066,3070,3076,3080
3,2754,2944,3449,2769,2899,2941,3442,3421,2569,2686,2890,2569,2598,2686,2689
4,3440,3592,3972,3480,3599,3590,3999,3963,3487,3501,3509,3488,3494,3506,3510
5,3612,3731,4175,3627,3711,3706,4175,4165,3468,3664,3678,3459,3481,3657,4666
6,3832,3900,4334,3840,3926,3908,4315,4333,3577,3875,2892,3488,3606,3872,3881
7,2505,2612,3183,2512,2615,2615,3179,3182,2410,2504,2612,2710,2739,2801,2807
8,2657,2934,3470,2688,2931,2908,3468,3467,2728,2766,2793,1957,2728,2743,2748
9,3574,3631,4036,3569,3625,3632,4035,4039,2648,3527,3543,2688,3537,3543,3578
10,2883,2970,3454,2896,2965,2990,3456,3450,2507,2509,2532,2926,2945,2955,2966
11,3352,3561,4115,3361,3570,3561,4115,4105,3233,3235,3491,3233,3247,3497,3501
12,2897,3200,3501,2901,3207,3197,3486,3486,2890,2899,3080,3020,3410,3421,3428
13,2398,2604,3020,2383,2634,2609,3098,3030,2338,2487,2508,2323,2326,2338,2339
14,3850,3998,4557,3878,4002,4000,4555,4559,3943,3991,4001,3900,4013,4021,4029
15,2561,2873,3269,2566,2878,2864,3290,3280,1464,2753,2758,1464,2751,2755,2758
16,2569,2657,3060,2542,2650,2651,3092,3054,2503,2763,2768,2489,2504,2532,2534
17,2444,2632,2997,2448,2640,2631,2998,2999,2307,2575,2583,2301,2307,2571,2575
18,2012,2196,2510,2010,2190,2198,2521,2512,2100,2116,2189,2200,2209,2211,2213
19,2398,2508,2891,2395,2513,2509,2923,2891,2436,2448,2459,2105,2228,2436,2438
20,3346,3585,3993,3347,3577,3589,3990,3996,3351,3353,3457,3353,3450,3458,3466
21,2531,2700,3065,2518,2690,2687,3070,3066,2650,2667,2671,2601,2611,2687,2701
22,2916,3209,3482,2918,3138,3196,3485,3482,2967,3385,3400,2829,2978,3010,3050
23,2518,2656,3065,2517,2657,2656,3065,3064,5955,6035,6165,4055,5987,6016,6035
24,2561,2741,3214,2561,2723,2716,3216,3212,2605,2626,2635,2604,2618,2624,2626
25,2414,2596,3022,2429,2561,2590,3027,2996,2439,2487,2479,2489,2504,2514,2517
26,2479,2636,3111,2481,2623,2639,3057,3121,2571,2601,2603,2578,2600,2632,2681
27,3217,3242,3771,3211,3259,3231,3774,3774,3236,3245,3256,3114,3121,3203,3204
28,2901,3135,3701,2902,3121,3131,3701,3695,3017,3032,3055,2948,2952,3006,3007
29,3119,3271,3654,3125,3253,3281,3655,3658,3250,3255,3258,3906,3909,3912,3916
30,3928,4111,4582,3908,4109,4109,4595,4586,3987,4022,2042,3955,3961,3968,3973
31,2386,2449,3033,2406,2439,2458,3039,3029,2443,2452,2465,2481,2495,2506,2517
32,2106,2167,2611,2122,2219,2111,2658,2616,2216,2452,2459,2288,2294,2360,2369
